,duration,from,name,network,operator,public_transport:version,ref,route,to,type,via,Stops,id
0,40,Treichville,bateau-bus 900: Treichville → Yopougon (Abobo Doumé),STL,STL,2,900,ferry,Yopougon (Abobo Doumé),route,Plateau,"[[4852197024, 'stop'], [7044975090, 'platform'], [5425049474, 'stop'], [7044975089, 'platform'], [5390465856, 'stop'], [7044975088, 'platform'], [558895277, ''], [754287285, '']]",10391642
1,40,Koumassi,bateau-bus 901 : Koumassi → Treichville,STL,STL,2,901,ferry,Treichville,route,"M'pouto, Plateau","[[7046900012, 'platform'], [7046900014, 'stop'], [7046900013, 'platform'], [5143778943, 'stop'], [7044975089, 'platform'], [5425049474, 'stop'], [7044975090, 'platform'], [4852197024, 'stop'], [558895508, ''], [558895277, '']]",10391643
2,40,Yopougon (Abobo Doumé),bateau-bus 900: Yopougon (Abobo Doumé) → Treichville,STL,STL,2,900,ferry,Treichville,route,Plateau,"[[7044975088, 'platform'], [5390465856, 'stop'], [7044975089, 'platform'], [5425049474, 'stop'], [7044975090, 'platform'], [4852197024, 'stop'], [754287285, ''], [558895277, '']]",10394939
3,40,Treichville,bateau-bus 901: Treichville → Koumassi,STL,STL,2,901,ferry,Koumassi,route,"Plateau, M'pouto","[[4852197024, 'stop'], [7044975090, 'platform'], [5425049474, 'stop'], [7044975089, 'platform'], [5143778943, 'stop'], [7046900013, 'platform'], [7046900014, 'stop'], [7046900012, 'platform'], [558895277, ''], [558895508, '']]",10394940
4,20,Treichville,bateau-bus 501: Treichville → Yopougon (Abobo Doumé),monbato,SOTRA,2,501,ferry,Yopougon (Abobo Doumé),route,,"[[2608400470, 'stop'], [7046964142, 'platform'], [5076847221, 'stop'], [7046964143, 'platform'], [559094511, '']]",10395063
5,20,Yopougon (Abobo Doumé),bateau-bus 501: Yopougon (Abobo Doumé) → Treichville,monbato,SOTRA,2,501,ferry,Treichville,route,,"[[5076847221, 'stop'], [7046964143, 'platform'], [2608400470, 'stop'], [7046964142, 'platform'], [559094511, '']]",10395064
6,20,Plateau,bateau-bus 503: Plateau → Yopougon (Abobo Doumé),monbato,SOTRA,2,503,ferry,Yopougon (Abobo Doumé),route,,"[[3438394646, 'stop'], [7047063325, 'platform'], [5076847221, 'stop'], [7046964143, 'platform'], [559094515, '']]",10395134
7,20,Yopougon (Abobo Doumé),bateau-bus 503 : Yopougon (Abobo Doumé) → Plateau,monbato,SOTRA,2,503,ferry,Plateau,route,,"[[5076847221, 'stop'], [7046964143, 'platform'], [3438394646, 'stop'], [7047063325, 'platform'], [559094515, '']]",10395135
8,20,Blockauss,bateau-bus 502: Blockauss → Treichville,monbato,SOTRA,2,502,ferry,Treichville,route,,"[[7047101136, 'platform'], [5204765222, 'stop'], [7047063325, 'platform'], [3438394646, 'stop'], [7046964142, 'platform'], [2608400470, 'stop'], [336759027, '']]",10395176
9,30,Treichville,bateau-bus 502 : Treichville → Blockauss,monbato,SOTRA,2,502,ferry,Blockauss,route,,"[[2608400470, 'stop'], [7046964142, 'platform'], [3438394646, 'stop'], [7047063325, 'platform'], [5204765222, 'stop'], [7047101136, 'platform'], [336759027, '']]",10395177
10,30,Plateau,bateau-bus : Plateau → Yopougon (Abobo Doumé),Aqualines,Citrans,2,,ferry,Yopougon (Abobo Doumé),route,Treichville,"[[5213164346, 'stop'], [1227889258, 'platform'], [7079693846, 'stop'], [7079693847, 'platform'], [5213164336, 'stop'], [5390465849, 'platform'], [559032043, ''], [538599372, '']]",10416468
11,30,Yopougon (Abobo Doumé),bateau-bus : Yopougon (Abobo Doumé) → Plateau,Aqualines,Citrans,2,,ferry,Plateau,route,Treichville,"[[5213164336, 'stop'], [5390465849, 'platform'], [7079693846, 'stop'], [7079693847, 'platform'], [5213164346, 'stop'], [1227889258, 'platform'], [538599372, ''], [559032043, '']]",10416469
12,45,Abatta,bateau-bus : Abatta → Plateau,Aqualines,Citrans,2,,ferry,Plateau,route,Treichville,"[[7079782627, 'stop'], [7079782626, 'platform'], [7079693846, 'stop'], [7079693847, 'platform'], [5213164346, 'stop'], [1227889258, 'platform'], [758105104, ''], [559032043, '']]",10465033
13,45,Plateau,bateau-bus : Plateau → Abatta,Aqualines,Citrans,2,,ferry,Abatta,route,Treichville,"[[5213164346, 'stop'], [1227889258, 'platform'], [7079693846, 'stop'], [7079693847, 'platform'], [7079782627, 'stop'], [7079782626, 'platform'], [559032043, ''], [758105104, '']]",10465034
